,id,host_id,neighbourhood_group,neighbourhood,room_type,price,latitude,longitude,minimum_nights,number_of_reviews,availability_365,host_name
9772,28823925,217364910,Fuencarral - El Pardo,Peñagrande,Private room,21,40.4729,-3.72985,20,5,365,Inmaculada
9773,28824832,217364910,Moncloa - Aravaca,Ciudad Universitaria,Private room,15,40.47266,-3.7298,20,5,181,Inmaculada
9774,28825896,217375816,Centro,Embajadores,Entire home/apt,67,40.40931,-3.7000800000000003,3,65,365,Emilio
9775,28832793,213310088,Moncloa - Aravaca,Aravaca,Entire home/apt,151,40.45836,-3.7827800000000003,2,27,177,Reyes  Y Boyd
9776,28833074,201605043,Salamanca,Lista,Entire home/apt,70,40.42971,-3.6777900000000003,2,60,164,Carmen
9777,28848595,102947901,Centro,Cortes,Entire home/apt,61,40.4125,-3.6968099999999997,1,1,360,Claudia
9778,28851510,217540850,Centro,Universidad,Hotel room,99,40.42357,-3.70641,1,0,365,Hotel Abalu
9779,28854052,2864064,Centro,Palacio,Entire home/apt,40,40.42207,-3.71,1,24,48,Oscar Vanessa Emilio
9780,28855477,217540850,Centro,Universidad,Hotel room,149,40.42473,-3.7048300000000003,1,0,365,Hotel Abalu
9781,28855964,217540850,Centro,Universidad,Hotel room,64,40.42412,-3.7048099999999997,1,0,365,Hotel Abalu
9782,28861048,144457564,San Blas - Canillejas,Arcos,Private room,36,40.42387,-3.6207800000000003,1,7,91,Katherine
9783,28866819,35575308,Centro,Justicia,Private room,51,40.41933,-3.6978,1,22,0,Mario
9784,28867452,88328128,Ciudad Lineal,Ventas,Private room,24,40.43172,-3.6546,2,77,60,Leticia
9785,28869035,217654072,Chamberí,Arapiles,Entire home/apt,90,40.43708,-3.70559,4,17,0,Nacho
9786,28874140,216627848,Tetuán,Castillejos,Entire home/apt,150,40.45789,-3.69432,2,12,0,Beatriz
9787,28879558,202823404,Centro,Universidad,Private room,21,40.42604,-3.71234,1,10,0,Susana
9788,28879759,217540850,Centro,Universidad,Hotel room,62,40.42467,-3.70632,1,0,365,Hotel Abalu
9789,28879760,217717266,Centro,Cortes,Private room,31,40.4144,-3.6967,3,18,0,Antonio
9790,28880280,217719694,San Blas - Canillejas,Simancas,Entire home/apt,82,40.43851,-3.6282400000000004,2,36,344,The Good Loft
9791,28881666,28786243,Centro,Sol,Entire home/apt,48,40.41904,-3.70022,1,42,108,Emilio
9792,28883558,166862695,Usera,San Fermín,Private room,70,40.36971,-3.6872,2,6,358,Cindy
9793,28885050,217540850,Centro,Universidad,Hotel room,135,40.4234,-3.7052099999999997,1,0,365,Hotel Abalu
9794,28889883,217782757,Centro,Palacio,Entire home/apt,36,40.41206,-3.70871,1,140,356,Airnaldo
9795,28890037,217783972,Tetuán,Castillejos,Entire home/apt,39,40.464220000000005,-3.69359,7,23,0,Eduardo
9796,28890516,217787353,Centro,Cortes,Entire home/apt,80,40.416129999999995,-3.6975300000000004,30,16,1,Ludi
9797,28890582,217782757,Arganzuela,Palos de Moguer,Entire home/apt,35,40.40636,-3.69305,1,172,365,Airnaldo
9798,28891626,217782757,Arganzuela,Palos de Moguer,Entire home/apt,40,40.40551,-3.69357,1,153,361,Airnaldo
9799,28891765,217782757,Arganzuela,Atocha,Entire home/apt,40,40.40605,-3.69159,1,160,358,Airnaldo
9800,28891855,217782757,Arganzuela,Palos de Moguer,Entire home/apt,36,40.406009999999995,-3.6923199999999996,1,162,347,Airnaldo
9801,28892011,217782757,Arganzuela,Atocha,Entire home/apt,35,40.40688,-3.69215,1,134,365,Airnaldo
9802,28904225,195775776,Moratalaz,Media Legua,Private room,55,40.40743,-3.6536800000000005,1,6,179,María Jesus
9803,28904705,901218,Centro,Cortes,Private room,19,40.41749,-3.69595,1,8,361,Myrko
9804,28910849,29138895,Centro,Justicia,Private room,30,40.422129999999996,-3.6987400000000004,1,113,53,Juan Carlos
9805,28912074,217931466,Latina,Puerta del Angel,Private room,41,40.41247,-3.7280699999999998,1,170,0,Clara María
